,empty_slots,free_bikes,id,latitude,longitude,name
116,24,3,346a3f4d1e15c95fcf7abf4dd69cb0a7,41.4267638,2.1521909,"C/ LISBOA, 128"
117,32,4,ddd1cf82f9fbc6f46089b086af6e110b,41.3789061,2.1233038,"C/ ARIZALA, 77"
118,19,6,9c2e3e53b02eb550cda4f0dd07d10828,41.3900544,2.1775594,"C/ MÉNDEZ NÚÑEZ, 16"
119,17,10,9688a50feda32c00f9d0929cec47acce,41.4158807,2.1908473,"C/ ESPRONCEDA, 298"
120,4,14,aab7e9b887f07b92be24c7c6bfdcf6fc,41.3811923,2.1735007,"LA RAMBLA, 80"
121,5,19,733c4b7dc13adf43eda617825b978026,41.3908477,2.136579,"AV. DIAGONAL, 634"
122,26,0,f3372fefe9287bdfeaec076d7cbc3471,41.3675438,2.1342316,"C/ QUETZAL, 22-24"
123,13,13,ffbaa273abd20a25367fc85ccfd7330c,41.4017084,2.2053803,"C/ RAMON TURRÓ, 246"
124,18,4,ec1db62dd08a4c1ff0bafae671d06714,41.401061,2.169941,"C/ PROVENÇA, 388-390"
125,15,0,627e166d8b3316534a9b51f10ee3d3ff,41.4315,2.18579,"C/ IRLANDA, 34"
126,19,3,cd72ad4a9dbceb4c46d87353ce542df0,41.3821658,2.1520645,"C/ CALABRIA, 158"
127,16,4,f9e2bce2fb587714a956883db5bd5689,41.4167933,2.2058345,"GRAN VIA DE LES CORTS CATALANES, 1118"
128,18,15,c4e81a9afb47f3d720c2d13b2b3e69b9,41.3621232,2.1356187,"C/ JANE ADDAMS, 26/ CRTA. DEL PRAT"
129,7,9,dc60d6ec5fb65c625c08180f89a280eb,41.410314,2.1757334,"C/ CARTAGENA, 308"
130,12,11,404e95fdd5b74e1e23f3c5726866ee29,41.4148983,2.207186,"C/ PERE IV, 488"
131,22,4,649da7e42e026afec2f1bae50f912cd1,41.3954723,2.1250451,"PASSATGE DE SENILLOSA, 3-5"
132,24,2,d03bca09c80e5a1eea3ea916922ef802,41.3941557,2.1813305,"C/ NÀPOLS, 82"
133,8,16,ce794ac7bd8798e23eae41c3e13e8384,41.3790954665734,2.1516210083711993,"C/ ENTENÇA, 70"
134,17,4,468cdd79007124037cb4c49834f0f4c4,41.4120452,2.1972673,"GRAN VIA DE LES CORTS CATALANES,  981"
135,29,3,c0404e92e0f3547d112fb945e7cb4e0f,41.4070139,2.2074469,"C/ PUJADES, 311/ FLUVIÀ"
136,23,0,871cd416cf79c532d0ecce37f1da4edf,41.3755016,2.154004,"C/ VILAMARÍ, 2"
137,10,17,abe41b077f52ff6dcd89fe331d42cc6c,41.3924661,2.1717397,"C/ BRUC, 45"
138,6,21,89d251d517c3cf0c0435af9d4daa1058,41.4457195,2.1929816,"C/ FERNANDO PESSOA, 72"
139,26,1,e6b1bab15b484861552a0e83f61f0ce0,41.4160558,2.1421504,"AV. VALLCARCA, 196"
140,18,8,d4a4e50c2de87880e9a073243eb63701,41.40013,2.1780175,"C/ CONSELL DE CENT, 482"
141,10,16,1f9e36d7f297b20aa6a1e64d491c7972,41.3902625,2.164035,"RBLA. CATALUNYA, 47"
142,3,18,cca384f10ed51ada861035bb4b17e71f,41.3871079,2.1753364,"C/ SANT PERE MÉS ALT, 4"
143,29,0,1531183adae9d617f88b99b7056ae8f1,41.3937414,2.1455022,"C/ SAGUÉS, 1"
144,7,18,f42676e8a08f610ac64c2912a14395c8,41.3808772,2.1559939,"C/ VILADOMAT, 122"
145,7,24,1747e401e4657c8c550ffd30791cbfe5,41.4003793,2.1924144,"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ"
146,27,6,d29e2abe8c06a377b78d71eee1d0f478,41.3897943,2.1328634,"AV. DIAGONAL, 650"
147,18,8,5a6b4c6a6b38a2ed0eba51fd65e031a3,41.3755747,2.1629349,"C/ VILADOMAT,  2"
148,15,9,c1a0d40374fb01ca5395a5ec4449cac4,41.37684,2.114029,"C/ CARDENAL REIG, 11"
149,11,3,0f9fe229cef0441785dc69de17b17418,41.4191957,2.1718497,"C/ GARRIGA I ROCA, 2"
150,16,11,0f850a848dad56671cf211f1684580b8,41.4333259,2.1629258,"PG. FABRA I PUIG, 385"
151,10,22,df6d9ac9a5659d0735da9a04a3a0c3ae,41.3935816,2.1345892,"C/ SANTA FE DE NOU MÈXIC, 2"
152,19,8,38ebb650dd9d97eed0737b715bc34c1a,41.4034967,2.1936584,"C/ ROC BORONAT, 134"
153,21,6,386c55096475077ec2346c1a074a2f21,41.4056269,2.1977119,"C/ CASTELLA,  28 / DIAGONAL"
154,22,10,d66ffbdf034373fa2a73d73292581b49,41.371366,2.143565,"C/ SANT PERE D´ABANTO, 2"
155,9,18,f5857b295e06b4662db61d3d7fec7a78,41.3781065,2.1696744,"RAMBLA DEL RAVAL, 20"
156,12,8,00028670e3d01438515caba403ffd680,41.4055198,2.1622548,"PL  JOANIC - C / BRUNIQUER, 59"
157,18,2,6597296b8aba550c3c36e8fba2e2a563,41.3770199,2.1169828,"C/ SANT RAMON NONAT,  26"
158,25,0,39a2c0f0f49e9e3449fc18a3215cfd88,41.400793,2.122889,"PG. BONANOVA, 100"
159,24,7,04c1f418a16200483f9ff8d36ffbea54,41.3821314,2.1606534,"C/ VILLARROEL, 39"
160,7,26,e02c5db9e6f6fca078798c9b2d486a81,41.357067,2.141563,JARDINS DE CAN FERRERO/PG.DE LA ZONA FRANCA
161,24,1,296d8cf892209d45de2ffb6cd8bfc9ec,41.3976165,2.1471724,"C/ LAFORJA, 74-76"
162,16,11,b531533edea1cbb1febcacfa1b2de898,41.4091355,2.2088179,"C/ SELVA DE MAR, 46"
163,22,4,a7a1407fe9858d2c96db2858a2f92c91,41.3981616,2.1386719,"C/ VALLMAJOR, 13"
164,16,4,15175d0b3a62e7ab9b961b63cc527dea,41.3796421,2.1368202,"C/ VALLESPIR, 49"
165,13,5,17e966aea4e9eaaaab7a77d5b59de955,41.3751866,2.1568773,AV. PARAL.LEL 164
166,12,27,03f8133a557d1706e2bdaa59db24514c,41.3751852,2.1592394,"AV. PARAL·LEL, 146 BIS"
167,1,21,56510ff03d4f05f12f0558f3b2c00592,41.3869612,2.1820169,"C/ COMERÇ, 36"
168,18,9,ca4e7de46ae2cece4a671ee1c6a62dfc,41.3969455,2.136346,"C/ REINA VICTORIA, 31"
169,31,6,837a89e6f83e86ee9812f66f36bea49a,41.381951,2.147474,"C/ ENTENÇA, 137"
170,18,5,fb7923cf9d6258b3827621a17c16f3f1,41.381219,2.141767,"C/ NUMÀNCIA, 2"
171,11,13,96f5f6ef281da60b166a50fc03189e7d,41.392567,2.1422174,"AV. DIAGONAL,  612"
172,18,11,cf7b7020945106c2d6334672818fd7c0,41.4296439,2.174444,PL. VIRREI AMAT
173,3,18,485e3dcc8a771641516691cbcf3631e2,41.3850616,2.1766834,"AV. DE LA CATEDRAL, 6"
174,5,8,b14fe56c969981b87e380a303ce48826,41.3736911,2.188928,LA BARCELONETA (CN BARCELONETA)
175,13,3,951bf060982350664a34d1316b496f4b,41.4315843,2.1769107,"C/ DE MALADETA, 1"
176,20,24,177691c9682b3cbc1b88eb02419d115d,41.381046,2.186576,PL. PAU VILA (D)
177,7,26,4f7f0e5605acd664b3a57dfe7c90667b,41.416043,2.2124993,"RAMBLA PRIM, 79"
178,24,2,f3351418bc7b868c203b94a4a4a4d3a3,41.3821371,2.1354149,"C/ VALLESPIR, 130"
179,20,5,c2cc6f14eff599dc8f98ad45ba99c6dd,41.39038,2.121,"PG. MANUEL GIRONA, 7"
180,15,10,9236b6b2cd0af13747bef6610bc2815c,41.4256626,2.2008632,"RAMBLA DE PRIM, 256"
181,9,10,58abd7401d2bb160e3666d167cb3ad1b,41.3847528,2.1546746,C/ ARAGÓN 147
182,18,6,66c267ba8e1f56ad341dd17f54c369f9,41.4246548,2.166289,"C/ PEDRELL, 52"
183,3,14,5623abe908c3b96a5aceb962c0273f6a,41.3842634,2.1692556,PL. VICENÇ MARTORELL
184,3,27,649a6bce881584f2182784d49e47284e,41.3937234,2.1764275,"C/ CASP, 67"
185,5,21,101580d3395e059b4d12769a5d25d212,41.39161170092347,2.1689031978751205,"C/ DIPUTACIÓ, 272"
186,12,12,8b869bec6b09fe353385927f2e6d9836,41.4001015,2.1841711,"C/ RIBES, 77"
187,15,3,542e07db8c95f24dd4f57175db5413dd,41.4095069,2.1885055,"C/ ARAGÓ, 614"
188,25,7,9ee110ea13f89c4d80d6b4e3d51dd546,41.384972,2.1376205,"C/ MARQUÈS DE SENTMENAT, 46"
189,15,14,c130134610be40499ad745cdd23a520d,41.4039698,2.1729061,"C/ SARDENYA, 326"
190,11,22,9f58f56f42bcc8b3511501b15d528efd,41.4132316,2.2177652,"C/ LLULL, 465"
191,21,5,6522571fe7fa2aaecb16c6049b211ec2,41.4166982,2.1909952,"C/ MÚRCIA, 64"
192,0,17,03f546e866d88a87aca588e8177f96eb,41.3751145,2.1709386,"AV. PARAL.LEL, 54"
193,17,9,5245b6a5cfddd55e8c2e6188db262d28,41.4420913,2.1928992,"C/ FERNANDO PESSOA, 41"
194,5,26,54bd829993a3b684100ac9a064956b45,41.391313,2.1808391,PG. DE LLUIS COMPANYS (ARC DE TRIOMF)
195,17,4,285fb40978472b0c0755ff451abf3dff,41.4113024,2.1987258,"C/ BAC DE RODA, 157"
196,4,15,95caf46aca1e3505945e857b05f84f40,41.4297231,2.1617032,"C/ FULTON, 1"
197,10,13,eabcedd1303965a9f8050b1566b9899e,41.4352071,2.1948002,"C/ SANT ADRIÀ, 43"
198,21,3,eb03f3afac0686805e05b09ec1ed32c7,41.4093405,2.2024461,"C/ PERE IV,  301 / FLUVIÀ"
199,8,16,4f35587b5a87254f405a876d473846c4,41.4363473,2.1706752,SEU DEL DISTRICTE (NOU BARRIS)
200,16,4,efec17f63cd2b413fca24ecb8513af38,41.3967524,2.1646338,"C/ PROVENÇA, 322"
201,23,8,58b2f4261bcad8e026d73a9e75a843f6,41.4110754,2.1809764,"C/ ROSSELLÓ, 557"
202,17,3,4bb1fd0291adbb8f29ad93854e5d026b,41.3988184485363,2.166735224916682,"C/ PROVENÇA, 317"
203,16,15,363c591f6e428ff1d478e80b6ae106b6,41.4364887,2.1841014,"C/ DE ROSSELLÓ I PORCEL, 1/AV.MERIDIANA"
204,10,17,5ad61e30662fbc77da561d09aebbdc9f,41.384844,2.185085,"AV. MARQUÉS DE  L'ARGENTERA, 15"
205,13,11,bb7a5c1d82f51c2132e19e0156f635dd,41.371459,2.127854,"C/ RIERA BLANCA, 123"
206,12,15,4695e42f21ff521e2f7f08ed7eda702d,41.4065912,2.203028,"C/ ESPRONCEDA, 124"
