,empty_slots,free_bikes,station_id,latitude,longitude,station_name,poi_id,poi_name,review_count,rating,price,distance,full_address
52,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",J1vHLZvSRfkNpy2x8OuVaQ,Torre Rosa,21.0,4.0,€€,891.6800543609959,"['Carrer de Francesc Tàrrega, 22', '08027 Barcelona', 'Spain']"
53,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",qN4roYYAOlFaJdMo5_oppQ,Several Cafè,9.0,4.5,€,457.0409935285058,"['Carrer Gran de Sant Andreu, 165', '08030 Barcelona', 'Spain']"
54,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",P7Cloffa4aU62FzVr-tZNg,Egarri,10.0,3.5,€€,522.866926815639,"['Passeig de Fabra i Puig, 159', '08016 Barcelona', 'Spain']"
55,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",b6CTrnhzquhrFoU7jF5emQ,Txapeldun,3.0,4.5,€€,522.866926815639,"['Passeig de Fabra I Puig, 159', '08016 Barcelona', 'Spain']"
56,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",oD9g3jw6UoebuiI3GtSGww,Tasca I Vins,10.0,4.0,€,497.985001051505,"['Calle Cardenal Tedeschini, 32', '08027 Barcelona', 'Spain']"
57,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",uY7qDqn533Z0Rb3RMMBvmw,Restaurante Dopazo,4.0,4.5,,672.9818705596829,"['Calle Santa Coloma, 15', '08030 Barcelona', 'Spain']"
58,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",e6bRub-8J0j5PDm55UNASA,Toca Teca,3.0,4.5,€,774.0612214798258,"['Carrer Garcilaso, 172', '08027 Barcelona', 'Spain']"
59,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",J1vHLZvSRfkNpy2x8OuVaQ,Torre Rosa,21.0,4.0,€€,1072.4771937928608,"['Carrer de Francesc Tàrrega, 22', '08027 Barcelona', 'Spain']"
60,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",UJw30gn9Yf60a8gIyvFH-A,La Cholita,8.0,4.5,€€,424.8912667698275,"['Carrer de Felip II, 244', '08016 Barcelona', 'Spain']"
61,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",P7Cloffa4aU62FzVr-tZNg,Egarri,10.0,3.5,€€,558.4422287095961,"['Passeig de Fabra i Puig, 159', '08016 Barcelona', 'Spain']"
62,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",b6CTrnhzquhrFoU7jF5emQ,Txapeldun,3.0,4.5,€€,558.4422287095961,"['Passeig de Fabra I Puig, 159', '08016 Barcelona', 'Spain']"
63,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",e6bRub-8J0j5PDm55UNASA,Toca Teca,3.0,4.5,€,1039.165547939003,"['Carrer Garcilaso, 172', '08027 Barcelona', 'Spain']"
64,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",uXm4R6Waztb6KiZKrc4LIQ,Marc's,6.0,4.0,€,973.6960346812756,"['Passeig de Maragall, 140', '08027 Barcelona', 'Spain']"
65,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",P7Cloffa4aU62FzVr-tZNg,Egarri,10.0,3.5,€€,570.9352479773853,"['Passeig de Fabra i Puig, 159', '08016 Barcelona', 'Spain']"
66,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",qN4roYYAOlFaJdMo5_oppQ,Several Cafè,9.0,4.5,€,663.3776196897529,"['Carrer Gran de Sant Andreu, 165', '08030 Barcelona', 'Spain']"
67,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",b6CTrnhzquhrFoU7jF5emQ,Txapeldun,3.0,4.5,€€,570.9352479773853,"['Passeig de Fabra I Puig, 159', '08016 Barcelona', 'Spain']"
68,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",uY7qDqn533Z0Rb3RMMBvmw,Restaurante Dopazo,4.0,4.5,,1036.6917432077369,"['Calle Santa Coloma, 15', '08030 Barcelona', 'Spain']"
69,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",UdRmo2dstOYd29Ihs5vI8w,La Vermuteria de Sant Andreu,4.0,4.0,€€,640.7518274775673,"['Rambla de Fabra I Puig, 51', '08030 Barcelona', 'Spain']"
70,23,8,dedcd93fbe85671e73c79baf58bd7fed,41.4253643,2.1852073,"C/ CARDENAL TEDESCHINI, 13",UJw30gn9Yf60a8gIyvFH-A,La Cholita,8.0,4.5,€€,818.1012109633141,"['Carrer de Felip II, 244', '08016 Barcelona', 'Spain']"
